"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"13.06.2025","39,4143","39,3530","39,8068","39,1761","","0,16%"
"12.06.2025","39,3530","39,1717","39,4105","39,0386","","0,46%"
"11.06.2025","39,1717","39,1750","39,4028","38,9950","","-0,04%"
"10.06.2025","39,1875","39,2797","39,4420","39,0668","","-0,23%"
"09.06.2025","39,2786","39,2195","39,4369","39,0426","","0,07%"
"08.06.2025","39,2503","39,2145","39,2503","39,2303","","0,08%"
"06.06.2025","39,2191","39,2776","39,4045","39,0370","","-0,15%"
"05.06.2025","39,2776","39,2003","39,3958","39,0578","","0,27%"
"04.06.2025","39,1721","39,1511","39,2871","39,0024","","0,06%"
"03.06.2025","39,1505","39,1798","39,3558","38,9325","","-0,09%"
"02.06.2025","39,1869","39,2249","39,3667","38,9784","","-0,06%"
"30.05.2025","39,2098","39,1053","39,5026","38,9689","","0,27%"
"29.05.2025","39,1053","39,0800","39,2410","38,9169","","0,15%"
"28.05.2025","39,0450","38,8520","39,2565","38,7736","","0,22%"
"27.05.2025","38,9612","38,9510","39,1727","38,8028","","0,01%"
"26.05.2025","38,9585","38,9480","39,1424","38,7647","","0,13%"
"23.05.2025","38,9092","38,9270","39,2460","38,7787","","-0,04%"
"22.05.2025","38,9258","38,8497","39,0726","38,7134","","0,20%"
"21.05.2025","38,8500","38,8312","38,9853","38,6961","","0,06%"
"20.05.2025","38,8271","38,7748","38,9848","38,6170","","0,13%"
"19.05.2025","38,7768","38,8275","39,0358","38,5589","","-0,20%"
"16.05.2025","38,8547","38,7059","38,9975","38,5709","","0,38%"
"15.05.2025","38,7061","38,7716","38,9097","38,5829","","-0,17%"
"14.05.2025","38,7716","38,7812","38,8993","38,6162","","-0,05%"
"13.05.2025","38,7914","38,7733","38,9169","38,6608","","0,05%"
"12.05.2025","38,7724","38,7556","38,8389","38,5855","","0,03%"
"09.05.2025","38,7611","38,6218","38,8791","38,4663","","0,36%"
"08.05.2025","38,6218","38,6310","38,8031","38,2685","","-0,08%"
"07.05.2025","38,6511","38,6230","38,7307","38,4844","","0,07%"
"06.05.2025","38,6229","38,5640","38,8255","38,3683","","0,13%"
"05.05.2025","38,5720","38,5694","38,7154","38,4065","","0,01%"
"02.05.2025","38,5698","38,4480","38,7148","38,3291","","0,32%"
"01.05.2025","38,4479","38,4908","38,6308","38,3549","","-0,11%"
"30.04.2025","38,4908","38,4713","38,6805","38,3226","","0,05%"
"29.04.2025","38,4713","38,4351","38,7132","38,2406","","0,10%"
"28.04.2025","38,4339","38,4228","38,6690","38,1685","","0,03%"
"25.04.2025","38,4235","38,3497","38,5610","38,2530","","0,20%"
"24.04.2025","38,3464","38,3025","38,4966","38,0531","","0,11%"
"23.04.2025","38,3025","38,2634","38,4118","38,1167","","0,10%"
"22.04.2025","38,2634","38,1962","38,4295","38,0802","","0,24%"
