title,content,description,language,source,published_at,url,keyword
Turkish tourism industry bounces back strongly,Policy makers are considering various options to stabilize the economy...,The government's new economic strategy aims to boost growth and stability......,tr,Bloomberg,2025-06-06 11:18:36.833391,https://example.com/article_0,sample
Currency volatility increases amid political uncertainty,Policy makers are considering various options to stabilize the economy...,International investors are closely watching Turkish economic developments......,tr,Haberturk,2025-06-12 14:15:36.833391,https://example.com/article_1,sample
Currency volatility increases amid political uncertainty,Market analysts predict continued volatility in the coming weeks...,International investors are closely watching Turkish economic developments......,tr,Anadolu Agency,2025-05-30 02:12:36.833391,https://example.com/article_2,sample
Turkish exports reach all-time high in quarterly results,The government's new economic strategy aims to boost growth and stability...,Market analysts predict continued volatility in the coming weeks......,tr,CNN,2025-06-12 13:53:36.833391,https://example.com/article_3,sample
Turkish manufacturing sector expands for third consecutive month,Economic indicators show mixed signals for Turkish market outlook...,Market analysts predict continued volatility in the coming weeks......,en,Bloomberg,2025-06-07 14:50:36.833391,https://example.com/article_4,sample
Inflation concerns grow as food prices surge in Turkey,Policy makers are considering various options to stabilize the economy...,The government's new economic strategy aims to boost growth and stability......,tr,Anadolu Agency,2025-06-02 10:51:36.833391,https://example.com/article_5,sample
Turkish manufacturing sector expands for third consecutive month,The government's new economic strategy aims to boost growth and stability...,Policy makers are considering various options to stabilize the economy......,en,Haberturk,2025-06-02 17:11:36.833391,https://example.com/article_6,sample
Istanbul stock exchange hits new record high,Market analysts predict continued volatility in the coming weeks...,Policy makers are considering various options to stabilize the economy......,tr,BBC,2025-05-30 20:56:36.833391,https://example.com/article_7,sample
Currency volatility increases amid political uncertainty,International investors are closely watching Turkish economic developments...,Economic indicators show mixed signals for Turkish market outlook......,tr,Hurriyet,2025-05-28 18:05:36.833391,https://example.com/article_8,sample
Turkish Central Bank raises interest rates to combat inflation,International investors are closely watching Turkish economic developments...,Economic indicators show mixed signals for Turkish market outlook......,tr,Haberturk,2025-06-05 11:42:36.833391,https://example.com/article_9,sample
Istanbul stock exchange hits new record high,Policy makers are considering various options to stabilize the economy...,Policy makers are considering various options to stabilize the economy......,tr,BBC,2025-05-31 06:50:36.833391,https://example.com/article_10,sample
Turkish tourism industry bounces back strongly,Economic indicators show mixed signals for Turkish market outlook...,Policy makers are considering various options to stabilize the economy......,en,Hurriyet,2025-05-30 21:06:36.833391,https://example.com/article_11,sample
Turkish economy shows signs of recovery in latest GDP data,Policy makers are considering various options to stabilize the economy...,Market analysts predict continued volatility in the coming weeks......,en,Haberturk,2025-06-13 02:50:36.833391,https://example.com/article_12,sample
Currency volatility increases amid political uncertainty,The government's new economic strategy aims to boost growth and stability...,Policy makers are considering various options to stabilize the economy......,tr,Reuters,2025-06-01 02:57:36.833391,https://example.com/article_13,sample
Central bank governor signals potential rate cuts ahead,Economic indicators show mixed signals for Turkish market outlook...,Economic indicators show mixed signals for Turkish market outlook......,en,Haberturk,2025-06-20 12:03:36.833391,https://example.com/article_14,sample
Turkish banks report strong quarterly earnings,Policy makers are considering various options to stabilize the economy...,Market analysts predict continued volatility in the coming weeks......,tr,Hurriyet,2025-06-18 03:38:36.833391,https://example.com/article_15,sample
Turkish manufacturing sector expands for third consecutive month,The government's new economic strategy aims to boost growth and stability...,Policy makers are considering various options to stabilize the economy......,en,Hurriyet,2025-05-30 04:03:36.833391,https://example.com/article_16,sample
Central bank governor signals potential rate cuts ahead,The government's new economic strategy aims to boost growth and stability...,Policy makers are considering various options to stabilize the economy......,tr,BBC,2025-05-30 06:24:36.833391,https://example.com/article_17,sample
Turkish manufacturing sector expands for third consecutive month,Economic indicators show mixed signals for Turkish market outlook...,Policy makers are considering various options to stabilize the economy......,tr,BBC,2025-06-10 08:49:36.833391,https://example.com/article_18,sample
Turkish Central Bank raises interest rates to combat inflation,Economic indicators show mixed signals for Turkish market outlook...,Economic indicators show mixed signals for Turkish market outlook......,en,Anadolu Agency,2025-06-21 14:48:36.833391,https://example.com/article_19,sample
Istanbul stock exchange hits new record high,The government's new economic strategy aims to boost growth and stability...,The government's new economic strategy aims to boost growth and stability......,tr,Bloomberg,2025-06-27 07:23:36.833391,https://example.com/article_20,sample
Inflation concerns grow as food prices surge in Turkey,Economic indicators show mixed signals for Turkish market outlook...,Policy makers are considering various options to stabilize the economy......,en,Haberturk,2025-05-31 01:29:36.833391,https://example.com/article_21,sample
New trade agreement signed between Turkey and EU,The government's new economic strategy aims to boost growth and stability...,Policy makers are considering various options to stabilize the economy......,tr,Anadolu Agency,2025-06-18 14:55:36.833391,https://example.com/article_22,sample
Turkish lira strengthens against dollar after policy announcement,Economic indicators show mixed signals for Turkish market outlook...,Market analysts predict continued volatility in the coming weeks......,en,CNN,2025-05-31 03:11:36.833391,https://example.com/article_23,sample
Turkish Central Bank raises interest rates to combat inflation,Policy makers are considering various options to stabilize the economy...,International investors are closely watching Turkish economic developments......,tr,Reuters,2025-06-12 08:44:36.833391,https://example.com/article_24,sample
Central bank governor signals potential rate cuts ahead,The government's new economic strategy aims to boost growth and stability...,Policy makers are considering various options to stabilize the economy......,en,Anadolu Agency,2025-05-29 00:29:36.833391,https://example.com/article_25,sample
